brand,perfume,launch_year,main_accords,notes
Rouge Bunny Rouge,Muse,2014,"white floral, floral, green, woody, amber, musky","jasmine, labdanum, moss, musk, ambergris, cedar, agarwood (oud), bergamot, freesia, gardenia, green leaves"
Mad et Len,No V Heliotrope Messerschmidia Argentea,0,"floral, powdery, almond, fruity, vanilla, sweet","violet, almond, amber, blackberry, heliotrope"
Jardin de France,Soie Sage,2011,"powdery, musky, vanilla, floral, rose","musk, jasmine, vanille, bergamot, pink pepper, rose, violet, pepper, rice"
M8 Moods,Fiorito,2016,"citrus, white floral, vanilla, musky, rose","jasmine, rose, peach, white musk, vanilla, orange, lemon, mandarin orange"
Profumi del Forte,Fiorisia,2012,"woody, floral, powdery, yellow floral, fresh spicy","iris, jasmine, ylang-ylang, cloves, carnation, sandalwood, cedar, musk, bergamot, black currant, tamarind, green leaves"
Schlossparfumerie,Imperial Santal,2015,"woody, citrus, earthy, balsamic, musky, aromatic","patchouli, vetiver, sandalwood, oakmoss, musk, bergamot, grapefruit"
Prada,Infusion d Iris 2015,2015,"woody, powdery, citrus, floral, white floral, balsamic","iris, italian mandarin , tunisian neroli, cedar, benzoin"
Margaret Astor,Jalique,1975,"fruity, woody, white floral, earthy, musky, amber","lily-of-the-valley, hyacinth, tuberose, rose, amber, musk, oakmoss, green notes, jasmine, fruity notes, white peach"
Lacoste,Eau de Lacoste L 12 12 Pour Elle Elegant,2015,"floral, powdery, green, citrus, fresh, woody","violet, mimosa, lily-of-the-valley, vetiver, heliotrope, vanilla, citruses, pink pepper, cassia"
Victorine,Sex,2015,"woody, yellow floral, balsamic, powdery, citrus","sandalwood, cedar, ylang-ylang, sweet orange"
Coeur d Esprit Natural Perfumes,Entranced,2008,"citrus, floral, fruity, white floral, woody, amber","osmanthus, jasmine, neroli, sandalwood, amber, ambrette (musk mallow), petitgrain, bergamot, black currant"
Perlier,Peonia Rosa,0,"floral, woody, white floral, powdery, sweet","peony, orange blossom, jasmine, violet, vetiver, peach, amber, vanilla, musk, palisander rosewood, hyacinth, sweet almond"
Meshaz Natural Perfumes,Ozmanthus,0,"fruity, floral, sweet, sour, lactonic, soft spicy","fruity notes, floral notes, osmanthus"
Sanae Intoxicants,Smoking Rose,2010,"fresh spicy, aromatic, balsamic, rose, woody, green","rose, grass, sandalwood, peru balsam, geranium, lavender"
House Of Sillage,Chevaux d Or,2015,"sweet, fruity, rose, floral, vanilla","rose, turkish rose, bulgarian rose, tonka bean, vanilla, wild strawberry, raspberry, magnolia"
Courreges,Blanc de Courreges,2012,"powdery, floral, woody, musky, rose","iris, heliotrope, grasse rose, turkish rose, white amber, patchouli, woody notes, white musk, orris, iris petals, litchi, pink pepper"
Xerjoff,Kind of Blue,2012,"powdery, floral, warm spicy, aldehydic, white floral","orange blossom, spicy notes, aldehydes, carnation, narcissus, rose, cardamom, powdery notes, sandalwood, iris"
Ghost,Luminous,2009,"fruity, sweet, fresh, citrus, floral","violet, freesia, jasmine, raspberry leaf, lily-of-the-valley, rose, sandalwood, raspberry, vetiver, peach, orange, pineapple, black currant, melon, green apple, bergamot, red apple"
Fleurage,Bay Rum Cologne,0,"vanilla, musky, warm spicy, fresh spicy, powdery","vanilla, musk, allspice, cloves"
Solinotes,Patchouli,2010,"patchouli, warm spicy, earthy, balsamic, woody",patchouli
Afnan Perfumes,Reyaam,0,"floral, woody, warm spicy","woody notes, spicy notes, floral notes"
Escada,Escada Sexy Graffiti 2011,2011,"sweet, fruity, citrus, woody, floral","lily-of-the-valley, violet, peony, cashmere wood, vanille, musk, grapefruit, strawberry, raspberry, mint"
Roberto Vizzari,Vizzari Extreme,0,"citrus, fruity, woody, sweet, aromatic","elemi, coriander, bulgarian rose, moroccan jasmine, moss, amber, woody notes, leather, bourbon vanilla, white musk, lemon, bergamot, black currant, pineapple, apple"
Esther P,Fugue,2013,"floral, powdery, citrus, woody, sweet, balsamic","lily-of-the-valley, iris, jasmine, heliotrope, vanila, sandalwood, cedar, tonka bean, musk, mandarin orange, bergamot, pineapple"
Johan B,Princess Beaute,0,"fruity, sweet, floral, amber, white floral, musky","apple blossom, lily-of-the-valley, lily, ambergris, musk, pear, plum, pineapple, peach"
Azagury,Azagury White,2013,"balsamic, woody, sweet, aromatic, citrus","cedar, caramel, guaiac wood, opoponax, labdanum, tobacco, vanila, leather, tonka bean, lorenox, ginger, lemon, grapefruit, labdanum"
Parfums Berdoues,1902 Bois Ambr,2017,"citrus, woody, balsamic, sweet, aromatic, musky","patchouli, cedar, palisander rosewood, musk, tonka bean, amber, tobacco, bergamot, citron"
Roja Dove,Musk Aoud,0,"musky, woody, leather, oud, fresh spicy, balsamic","jasmine, rose, ylang-ylang, agarwood (oud), ambrette (musk mallow), birch, leather, musk, nutmeg, oakmoss, precious woods, sandalwood, tonka bean, vanilla, bergamot, lemon"
The 7 Virtues,Noble Rose of Afghanistan,2010,"rose, warm spicy, floral, aromatic, citrus","carnation, clove, rose"
Avon,Ess ncia Envolvente,2011,"white floral, amber, powdery, woody, citrus, fresh spicy","jasmine, lily, violet, rose, amber, sandalowood, musk, lemon, mandarin orange, ginger, black pepper"
Women Secret,Dreams,2014,"floral, citrus, woody, rose, powdery, fresh","orange, rose, egyptian jasmine, sandalowood, white musk, italian mandarin , lilac, nectarine"
Brut Parfums Prestige,McGregor,1983,"aromatic, citrus, patchouli, woody, earthy, soft spicy","incense, anise, coconut milk, patchouli, vetiver, lime, sage"
Lancetti,Lancetti Mood Woman,2006,"fruity, citrus, aromatic, sweet, woody","rose, orchid, lily, cedar, vetiver, tonka bean, musk, bergamot, lemon, orange, pineapple, peach, black currant, red apple, plum"
Montale,Full Incense,0,"balsamic, smoky, amber, warm spicy, woody","french labdanum, incense, elemi resin, patchouli, virginia cedar"
Ana Hickmann,Ana,2009,"powdery, floral, woody, sweet, citrus","violet, orchid, raspberry, musk, virginia cedar, vanille, petitgrain, lemon verbena"
Yves Rocher,Samarkande,1990,"fresh spicy, aromatic, woody, herbal, patchouli","lavender, geranium, patchouli, virginia cedar, ginger, basil"
Laboratorio Olfattivo,Patchouliful,2014,"warm spicy, patchouli, balsamic, cinnamon, amber","patchouli, frangipani, iris, cedar, musk, labdanum, bergamot, cinnamon, cloves"
Rasasi,L Incontournable Blue 2 for Men,0,"citrus, warm spicy, woody, fresh spicy, aromatic, fresh","spicy notes, geranium, cardamom, woody notes, sandalwood, musk, citruses, bergamot, wormwood"
Etro,Vicolo Fiori Eau De Parfum,2011,"floral, aquatic, citrus, musky, fresh","ylang-ylang, lotus, water lily, cyclamen, rose hip, musk, iris, amber, vanille, tangerine"
Alkemia Perfumes,Calaveras de Azucar,2011,"amber, sweet, animalic, vanilla, balsamic","white amber, sugar"
Hanae Mori,Hanae Mori N04,2011,"sweet, fruity, aromatic, balsamic, vanilla, warm spicy","rose, peach, strawberry, toffee, tonka bean, patchouli, sage, benzoin, vanille, african orange flower, bergamot, black currant, marigold"
Express,Honor,2010,"aquatic, green, fresh, musky, aromatic, fresh spicy","water notes, mint, basil, ivy, grapefruit, fig, musk, vanille, vetyver"
Des Filles a la Vanille,Hello Mademoiselle,0,"woody, floral, fruity, powdery, white floral, sweet","jasmine, magnolia, iris, raspberry, cedar, cassis"
Cindy C,Black White,0,"woody, floral, fresh spicy, citrus, warm spicy, aromatic","violet, cyclamen, freesia, watermelon, patchouli, moss, sandalwood, musk, lemon, orange, cardamom, pepper, juniper"
Jesus Del Pozo,Desert Flowers Peony,2013,"balsamic, sweet, warm spicy, musky, floral","peony, dates, labdanum, patchouli, vetiver, benzoin, musk, myrrh, bergamot, mandarin orange, spicy notes"
Arno Sorel,Intime,0,"powdery, floral, woody, musky, rose","violet, rose, sandalwood, musk, iris, patchouli"
Acorelle,Sauge Marine,0,"aromatic, woody, citrus, herbal, soft spicy","sage, cedar, lemon"
MAC,M A C Monogram,2008,nan,nan
Koto Parfums,Hello Kitty Wild Thing Roller Girl,2012,"citrus, fruity, vanilla, floral, green","magnolia, freesia, orange blossom, tonka bean, vanilla, musk, cassis, mandarin orange, apple"
Bond No 9,New York Amber,2011,"amber, balsamic, fresh spicy, rose, oud","musk, osmanthus, jasmine, sandalwood, amber, saffron, nutmeg, benzoin, bergamot, myrhh, rose, agarwood (oud), pepper"
Elizabeth Arden,5th Avenue NYC Premiere,2015,"balsamic, floral, warm spicy, white floral, sweet, amber","jasmine, wild orchid, hyacinth, tonka bean, benzoin, amber, musk, sandalowood, patchouli, mandarin orange, black pepper, lily-of-the-valley"
Ajmal,Walah,0,"fruity, amber, warm spicy, sweet, sour","fruity notes, amber, musk, rose, spicy notes"
Romane,Cheyenne,0,"woody, citrus, aromatic, white floral, powdery","jasmine, violet, orange blossom, ylang-ylang, vanilla, sandalwood, patchouli, vetiver, white musk, cassis, lemon, bergamot"
Ralph Lauren,Song of America Sage,2016,"woody, aromatic, fresh spicy, fruity, herbal","fig, sage, fir resin"
Le Labo,Patchouli 24 Perfume Oil,2012,"balsamic, patchouli, leather, vanilla, smoky","patchouli, birch, styrax, vanila"
Giorgio Armani,Armani Code Ultimate,2012,"woody, vanilla, aromatic, floral, powdery, balsamic","cedar, olive blossom, cypress, heliotrope, tonka bean, vanilla, guaiac wood, grapefruit, mandarin orange, star anise"
West Third Brand,Smoky Fig,0,"aromatic, woody, fresh spicy, white floral, herbal, sweet","fig, lemon, agave, sage, lavender, coconut, lily, fir, musk"
Lalique,Sculpteur d Epices,2014,"balsamic, warm spicy, fresh spicy, aromatic, cinnamon, citrus","rose, egyptian jasmine, cinnamon, tonka bean, patchouli, labdanum, bergamot, black pepper, orange"
Teo Cabanel,Kasar,2016,"leather, warm spicy, oud, cinnamon, animalic","saffron, cinnamon, nutmeg, agarwood (oud), patchouli, cedar, labdanum, musk, leather, citruses"
Halloween,Halloween Blue Drop,2012,"citrus, fresh, white floral, fresh spicy, fruity","jasmine, violet, white flowers, musk, amber, spices, cinnamon, citruses, green apple, lavender"
O Boticario,Carpe Diem,0,"fresh spicy, aromatic, citrus, green, floral","geranium, nutmeg, ginger, cardamom, vetyver, sandalwood, amber, musk, violet, mint, lavender, lemon, mandarin orange, bergamot"
Tristano Onofri,Totally You Woman,0,"sweet, fruity, fresh, tropical, floral","sandalwood, lily-of-the-valley, peony, melon, musk, patchouli, amber, tonka bean, vanille, grapefruit, tangerine, pink pepper, freesia, pineapple, pear"
Meo Fusciuni,2 nota di viaggio shukran,2011,"green, aromatic, tobacco, fresh spicy, sweet","tobacco, mint"
Al Battash Classic,Samurai,2015,"woody, musky, balsamic, patchouli, citrus, fresh spicy","patchouli, vetiver, cedar, olibanum, musk, nutmeg, pink pepper, tangerine"
Jequiti,Monster High Draculaura,2015,"fruity, sweet, woody, musky, powdery, balsamic","honeysuckle, pink freesia, white musk, sandalowood, vanilla flower, guarana, red apple, fruity notes"
Anfasic Dokhoon,August 31st,0,"woody, powdery, floral, musky, sweet, yellow floral","musk, sandalwood, agarwood (oud), violet, ylang-ylang, honey"
S lection Excellence,No 56,0,"woody, citrus, aromatic, earthy, fruity, green","jasmine, birch leaf, amber, oakmoss, patchouli, pine, musk, pineapple, orange, bergamot, vetiver, birch leaf, apple"
Aveda,Aveda Men Pure formance Aroma Spray,2008,"aromatic, green, woody, citrus, fresh spicy","amalfi lemon, orange, mint, lavender, vetiver"
Clinique,Clinique Happy In Bloom 2013,2013,"floral, fruity, sweet, powdery, yellow floral","freesia, mimosa, incense, white woods, woody notes, apricot, fruity notes"
Parfums et Senteurs du Pays Basque,Oui mais il a aime,2008,"patchouli, warm spicy, earthy, leather, tobacco","leather, tobacco, patchouli"
Daniela Katzenberger,Love Cat,2013,"citrus, fruity, powdery, fresh spicy, floral","violet, geranium, vanilla, amber, musk, grapefruit, black currant, mandarin orange, mango"
Sergio Tacchini,Active Water,2005,"fresh spicy, aromatic, woody, citrus, musky","sandalwood, egyptian pelargonium, cedar, juniper berries, bergamot, caraway, white musk"
Jacques Fath,La Femme de Fath,2012,"woody, earthy, rose, citrus, soft spicy, patchouli","rose, peach, jasmine, vetiver, patchouli, oakmoss, orange, bergamot, pink pepper"
Alain Delon,Iquita,1996,"powdery, woody, sweet, citrus, fruity","jasmine, orris root, rose, violet, musk, patchouli, oak moss, amber, vanille, bergamot, mandarin orange, yuzu, big strawberry, plum, raspberry"
Halston,Halston 101,1983,"aromatic, woody, fresh spicy, floral, herbal","carnation, geranium, caraway, pine, musk, virginia cedar, amber, leather, lavender, artemisia, bergamot, amalfi lemon, clary sage"
Sean John,Unforgivable Women Black,2008,"sweet, fruity, coconut, balsamic, woody","pineapple, iris, orange blossom, coconut milk, sandalwood, tonka bean, patchouli, vanilla, red apple, cassia, jasmine, white cyclamen, pi\u00f1a colada , ylang-ylang, bergamot"
Black Phoenix Alchemy Lab,L Ecole des Filles,0,"powdery, amber, citrus, white floral, musky, rose","orange blossom, benzoin, ambergris, white rose, orris root, lemon balm, carrot seeds"
Memo,Inle Iris,2016,"floral, powdery, green, fresh spicy, woody","osmanthus, jasmine sambac, mate, musk, iris, bergamot, artemisia, mint"
Pacoma,Classics Blend,0,nan,nan
Estevia Parfum,Oud Musk,2015,"musky, oud, amber, warm spicy, woody","null, amber, mahogany, white musk, agarwood (oud), spicy notes"
Herb Alpert,Listen for Men,1991,"citrus, fresh spicy, aromatic, green, fruity, floral","fruity notes, cyclamen, rose, jasmine, basil, geranium, carrot, musk, cedar, amber, tonka bean, lemon, bergamot, mandarin orange, mint"
Bernd Berger,Aqua di Viventy,0,"fruity, white floral, sweet, woody, fresh","water lily, quince, orange blossom, rose, jasmine, sandalwood, vetiver, amber, lemon, peach, pineapple, mulberry"
Est e Lauder,Wood Mystique,2011,"oud, sweet, rose, floral, woody","iris, jasmine, ylang-ylang, rose, mimosa, patchouli, virginia cedar, benzoin, agarwood (oud), leather, raspberry, pink pepper, peony"
Keiko Mecheri,Genie des Bois,0,"woody, balsamic, powdery, floral, warm spicy, sweet","violet, violet leaf, tonka bean, benzoin, brazilian rosewood, cacao pod"
Succes de Paris,Fujiyama Love Story,0,"white floral, fresh spicy, fruity, sweet, fresh","orange blossom, passionfruit, apple, black pepper"
Enrico Coveri,Coveri pour Elle,2016,"woody, floral, powdery, fruity, citrus, musky","jasmine, lily-of-the-valley, violet, sandalwood, white woods, musk, black currant, pear, bergamot"
Orlane,Ecusson,0,"woody, powdery, floral, aromatic, citrus","carnation, geranium, ylang-ylang, jasmine, violet, oakmoss, musk, vetiver, vanilla, sandalwood, lemon, iris"
Bruno Acampora,Courser Cuir,2016,"woody, powdery, sweet, vanilla, musky, amber","raspberry, mate, cedar, vanilla, musk, amber, thyme, leather, violet"
Arrogance,Arrogance Mix Muschio Blanco Mela,2005,"fruity, musky, fresh, green, vanilla","osmanthus, apple, white musk, vanilla, grapefruit, kumquat"
Melange Perfume,Roll On Perfume No 11,0,"white floral, tuberose, animalic, citrus, narcotic","tuberose, neroli, jasmine"
Perfumer s Workshop,Samba True Blue Woman,2001,"vanilla, white floral, fruity, fresh, green","vanilla, jasmine, apple"
Gwendolyn Mary,Pavane No 3,2013,"woody, warm spicy, powdery, vanilla, tobacco","tobacco, cedar, sandalwood, oakmoss, vanilla, cloves"
Donna Karan,Cashmere Mist Gold Essence,2013,"woody, white floral, green, balsamic, powdery, amber","jasmine, lotus, gardenia, sandalwood, amber, teak wood, cassis, green notes, bergamot"
Dorin,Romantique,2012,"woody, white floral, citrus, rose, patchouli, aromatic","jasmine, neroli, rose, sandalwood, patchouli, cedar, vetiver, lemon, bergamot"
Avatim,Apoena,2012,"fresh spicy, floral, fruity, musky, tropical","jasmine, magnolia, ginger, black pepper, musk, amber, litchi, mandarin orange, freesia"
Elizabeth W,Tea Rose,0,"rose, green, fruity, woody, fresh spicy","wild rose, green notes, wild berries, hawthorn"
Candora,Gingembre,0,fresh spicy,ginger
Cerchi Nell Acqua,Syconia,2017,"green, fruity, woody, sweet, fresh","fig tree, fruity notes, green notes, fig, fig leaf, fig tree, fruity notes, fig, fig leaf, fig tree"
Lattafa Perfumes,24 CARAT WHITE GOLD,0,"fresh spicy, aromatic, citrus, woody, white floral, oud","nutmeg, lavender, pink pepper, geranium, agarwood (oud), vetiver, tonka bean, orange blossom, bergamot"
Seth Kornegay,Tres Belle Femme,2013,"fresh spicy, aromatic, green, woody, white floral, amber","amber, herbal notes, basil, lavender, coriander, ylang-ylang, jasmine, sandalwood"
Van Cleef Arpels,First Jasmin de Chine,2004,"woody, aromatic, yellow floral, green, white floral","aldehydes, tuberose, jasmine, ylang-ylang, rose, narcissus, sandalwood, musk, vanilla, vetiver, cedar, cassia, bergamot, black currant"
Parfums Berdoues,Somei Yoshino,2015,"white floral, aromatic, green, fresh spicy, animalic","jasmine sambac, patchouli, shiso"
Nicolai Parfumeur Createur,Eau sOleil,2013,"citrus, aromatic, white floral, fresh spicy, green, bitter","ylang-ylang, egyptian jasmine, neroli, musk, patchouli, lemon, bergamot, mandarin orange, petitgrain, wormwood, thyme"
Avon,Alpha,2013,"woody, fresh spicy, warm spicy, aromatic, citrus","basil, nutmeg, cardamon, cedar, olibanum, brandy, verbena, sicilian bergamot, juniper berries"
Deco London,Loretta,2015,"white floral, woody, earthy, amber, rose, patchouli","rose, jasmine, patchouli, moss, amber, musk, vanilla, vetiver, orange blossom, osmanthus"
